,County_Code,Policy_Effective_Year,Total_Policy_Insurance_Cost,Units_Per_Policy,Building_Limits_Purchased,Contents_Limits_Purchased,Policy_Insurance_Premium,Policy_Sold_Count
208,48109,2021,1285.0,3.0,465000.0,8000.0,1025.6666666666667,3
209,48111,2018,1124.6666666666667,15.0,1152000.0,198500.0,824.4,15
210,48111,2019,1218.6,10.0,1075900.0,219500.0,959.7,10
211,48111,2020,1467.909090909091,11.0,1228000.0,220100.0,1135.1818181818182,11
212,48111,2021,1131.3333333333333,3.0,352500.0,98000.0,838.6666666666666,3
213,48113,2018,1077.3509849066256,9146.0,1817327100.0,569921100.0,825.6843182399591,7818
214,48113,2019,1131.4811796662786,9112.0,1818836500.0,573607100.0,874.589574440564,7731
215,48113,2020,1219.6181403461694,8952.0,1807535300.0,556459100.0,931.0717831745606,7453
216,48113,2021,1358.4469914040114,2311.0,466391100.0,132909700.0,1043.0452722063037,1745
217,48115,2018,935.8,10.0,854800.0,212000.0,705.2,10
218,48115,2019,1016.1,10.0,785800.0,150000.0,804.3,10
219,48115,2020,1146.3333333333333,9.0,681500.0,160000.0,895.4444444444445,9
220,48115,2021,883.0,4.0,473900.0,155000.0,690.0,4
221,48117,2018,1118.0,3.0,699700.0,200000.0,921.3333333333334,3
222,48117,2019,621.25,4.0,731200.0,260000.0,442.5,4
223,48117,2020,544.0,2.0,500000.0,200000.0,418.5,2
224,48121,2018,731.0739561217268,2826.0,628005200.0,226091300.0,554.6256192498231,2826
225,48121,2019,778.7206664303438,2821.0,634005800.0,222480400.0,597.5108117688762,2821
226,48121,2020,843.3133333333334,2700.0,612316500.0,217205700.0,643.5003703703703,2700
227,48121,2021,987.5823817292006,613.0,140375200.0,46607700.0,759.2430668841762,613
228,48123,2018,855.7185430463576,302.0,49977000.0,19559500.0,650.0496688741722,302
229,48123,2019,945.3795379537954,303.0,51263600.0,19398300.0,728.9339933993399,303
230,48123,2020,1044.5277777777778,288.0,48800000.0,18738400.0,797.4895833333334,288
231,48123,2021,1064.2077922077922,77.0,13195600.0,5086100.0,811.5064935064935,77
232,48127,2018,2405.9756097560976,41.0,7036200.0,690400.0,1934.121951219512,41
233,48127,2019,2804.288888888889,45.0,7672200.0,675400.0,2280.9333333333334,45
234,48127,2020,2864.2558139534885,43.0,6970700.0,851400.0,2274.6976744186045,43
235,48127,2021,2674.0,5.0,890600.0,0.0,2088.2,5
236,48129,2018,1744.3333333333333,6.0,966500.0,222700.0,1357.1666666666667,6
237,48129,2019,1092.25,4.0,466500.0,12000.0,841.25,4
238,48129,2020,1144.2,5.0,516500.0,12000.0,845.6,5
239,48129,2021,1427.3333333333333,3.0,420500.0,0.0,1146.0,3
240,48131,2018,1225.4375,32.0,4614600.0,1625000.0,919.78125,32
241,48131,2019,1278.9615384615386,26.0,4138500.0,1556100.0,1008.4230769230769,26
242,48131,2020,1338.7083333333333,24.0,3615400.0,1439200.0,1042.3333333333333,24
243,48131,2021,1814.0,3.0,650000.0,560000.0,1417.3333333333333,3
244,48133,2018,1429.9402985074628,134.0,17139500.0,4720000.0,1101.7611940298507,134
245,48133,2019,1534.504132231405,121.0,15979600.0,4226900.0,1198.396694214876,121
246,48133,2020,1632.8484848484848,99.0,13931400.0,3571500.0,1266.5151515151515,99
247,48133,2021,1429.0,24.0,3454700.0,842200.0,1091.7083333333333,24
248,48135,2018,1666.683908045977,1044.0,157200900.0,26340100.0,1297.051724137931,1044
249,48135,2019,1810.8599605522681,1014.0,160902800.0,24067800.0,1425.4280078895463,1014
